year,season,month,weekday,hour,holiday,workingday,weather,temp,temp_felt,hum,windspeed,casual,registered,total
2011,aut,dec,fri,0,no,yes,1,4,3,0.65,0,8,26,34
2012,spr,may,wed,19,no,yes,1,18,18,0.77,17,43,461,504
2011,spr,mar,wed,0,no,yes,2,8,7,0.57,0,3,8,11
2012,sum,aug,mon,19,no,yes,1,28,30,0.7,15,74,499,573
2011,sum,jul,mon,15,no,yes,1,34,40,0.56,28,38,108,146
2012,win,mar,fri,22,no,yes,2,14,13,0.94,0,16,132,148
2012,sum,sep,thu,9,no,yes,1,21,24,0.64,6,46,292,338
2012,aut,nov,mon,22,no,yes,1,9,7,0.66,7,7,106,113
2012,aut,nov,wed,7,no,yes,1,4,-2,0.65,19,10,405,415
2011,SPRING,may,thu,19,no,yes,1,18,18,0.28,15,56,305,361
2011,win,feb,thu,10,no,yes,1,-2,-9,0.42,20,1,34,35
2012,aut,nov,tue,1,no,yes,1,4,0,0.6,11,0,8,8
2011,sum,sep,mon,17,no,yes,2,20,20,0.64,9,85,483,568
2012,sum,jul,sun,8,no,no,2,23,23,0.78,0,31,122,153
2012,win,jan,tue,16,no,yes,1,12,11,0.71,9,35,243,278
2011,win,feb,wed,22,no,yes,1,4,3,0.48,0,1,60,61
2011,sum,sep,sat,2,no,no,2,21,17,0.97,7,18,46,64
2011,win,mar,sun,9,no,no,1,7,4,0.52,9,35,43,78
2012,spr,jun,fri,23,no,yes,1,22,25,0.53,17,46,176,222
2011,win,dec,fri,2,no,yes,1,4,1,0.7,7,2,10,12
2012,spr,may,mon,1,no,yes,3,20,20,0.88,24,4,11,15
2012,win,mar,thu,23,no,yes,2,19,19,0.49,30,6,88,94
2012,sum,jun,tue,21,no,yes,1,25,26,0.34,13,61,267,328
2011,win,feb,fri,8,no,yes,2,13,12,0.77,13,26,246,272
2011,win,dec,mon,20,yes,no,1,7,5,0.56,6,14,42,56
2011,win,jan,wed,15,no,yes,1,12,11,0.54,19,4,78,82
2012,sum,jul,thu,11,no,yes,1,31,37,0.66,15,69,143,212
2012,sum,sep,thu,10,no,yes,1,20,20,0.53,6,33,157,190
2011,spr,may,mon,9,no,yes,1,21,23,0.69,13,38,156,194
2011,win,feb,wed,15,no,yes,2,2,-4,0.34,19,3,61,64
2011,sum,sep,thu,8,no,yes,2,21,17,1,11,26,389,415
2012,spr,jun,mon,1,no,yes,1,18,18,0.77,15,9,5,14
2011,aut,dec,fri,8,no,yes,1,4,3,0.87,0,13,432,445
2012,sum,jul,mon,3,no,yes,1,24,24,0.83,0,0,3,3
2011,sum,aug,wed,11,no,yes,1,31,31,0.41,26,54,95,149
2011,aut,nov,thu,0,no,yes,1,12,11,0.87,0,0,24,24
2012,spr,mar,mon,23,no,yes,1,9,3,0.25,35,2,46,48
2012,sum,aug,sun,16,no,no,2,24,25,0.65,0,97,259,356
2011,aut,nov,thu,2,yes,no,1,7,3,0.61,19,3,19,22
2011,sum,jul,sat,20,no,no,1,32,33,0.43,9,74,132,206
2011,sum,jul,thu,21,no,yes,1,32,43,0.75,15,38,187,225
2012,aut,nov,fri,15,no,yes,1,13,12,0.38,9,30,237,267
2012,spr,may,sat,6,no,no,1,14,13,0.72,6,12,38,50
2011,sum,jul,tue,1,no,yes,1,26,28,0.79,7,6,6,12
2012,spr,apr,tue,15,no,yes,1,21,23,0.2,13,109,207,316
2012,spr,apr,thu,19,no,yes,1,16,15,0.31,17,64,423,487
2011,spr,may,wed,16,no,yes,1,24,25,0.39,0,49,240,289
2012,win,mar,thu,16,no,yes,1,20,20,0.32,20,38,323,361
2012,sum,aug,mon,12,no,yes,2,30,32,0.55,6,72,213,285
2012,spr,may,wed,9,no,yes,2,22,23,0.78,0,39,258,297
2012,win,jan,wed,18,no,yes,3,9,6,0.87,13,2,96,98
2011,aut,sep,sun,20,no,no,1,23,22,0.83,6,51,135,186
2011,win,mar,fri,7,no,yes,1,12,11,0.66,13,11,112,123
2011,sum,jul,fri,20,no,yes,1,24,24,0.83,11,30,220,250
2011,spr,may,tue,19,no,yes,1,21,23,0.69,17,51,298,349
2011,sum,aug,mon,1,no,yes,1,21,23,0.69,7,5,15,20
2011,spr,mar,thu,5,no,yes,3,4,-1,0.93,15,0,8,8
2011,win,mar,wed,1,no,yes,3,7,2,1,20,1,2,3
2012,aut,dec,thu,3,no,yes,2,7,5,0.7,6,1,3,4
2011,aut,dec,thu,0,no,yes,1,8,5,0.7,11,5,45,50
2012,win,jan,sun,4,no,no,1,4,1,0.3,0,0,5,5
2011,sum,sep,fri,6,no,yes,2,22,18,1,9,3,54,57
2011,spr,mar,thu,12,no,yes,2,7,2,0.7,22,12,82,94
2011,aut,nov,thu,15,no,yes,1,17,17,0.52,11,24,138,162
2012,sum,jul,sun,17,no,no,1,31,35,0.59,33,122,314,436
2011,aut,oct,mon,2,no,yes,1,19,19,0.54,26,4,3,7
2011,spr,mar,wed,17,no,yes,3,5,2,0.93,7,11,105,116
2012,win,jan,mon,7,yes,no,1,-3,-7,0.54,7,5,28,33
2012,aut,dec,wed,0,no,yes,1,17,16,0.59,19,6,31,37
2012,win,jan,fri,21,no,yes,2,2,-1,0.37,6,5,99,104
2011,aut,oct,fri,12,no,yes,2,11,10,0.4,11,46,167,213
2012,spr,mar,thu,0,no,yes,1,17,17,0.83,6,9,32,41
2011,win,mar,sat,10,no,no,2,9,6,0.93,13,34,69,103
2012,spr,may,wed,5,no,yes,2,22,23,0.78,9,1,40,41
2012,aut,oct,fri,3,no,yes,1,18,18,0.73,0,5,11,16
2012,spr,mar,thu,9,no,yes,1,16,15,0.48,28,22,299,321
2011,sum,jul,thu,5,no,yes,2,27,31,0.84,7,2,16,18
2011,win,feb,fri,5,no,yes,2,15,14,0.67,7,1,6,7
2011,sum,jul,wed,9,no,yes,1,28,30,0.7,6,28,181,209
2012,win,feb,tue,4,no,yes,2,5,2,0.65,7,0,2,2
2011,win,jan,sun,5,no,no,1,-4,-10,0.53,13,0,1,1
2011,sum,sep,wed,0,no,yes,1,18,18,1,0,7,20,27
2011,spr,apr,tue,10,no,yes,1,24,25,0.69,24,22,98,120
2012,sum,jul,fri,17,no,yes,1,37,38,0.29,0,90,486,576
2012,spr,apr,sun,19,no,no,3,10,5,0.87,35,1,34,35
2012,sum,aug,sun,8,no,no,1,29,32,0.66,22,27,81,108
2011,win,jan,mon,11,no,yes,1,2,-4,0.4,22,10,41,51
2011,aut,oct,thu,21,no,yes,1,15,14,0.88,6,34,161,195
2011,sum,aug,tue,20,no,yes,1,28,28,0.51,0,48,232,280
2012,win,jan,thu,7,no,yes,2,6,4,0.81,6,11,228,239
2011,aut,sep,thu,21,no,yes,1,20,20,0.56,0,30,195,225
2012,spr,apr,sat,2,no,no,1,11,10,0.66,9,3,53,56
2011,aut,nov,tue,7,no,yes,3,11,50,0.94,15,2,119,121
2011,win,feb,wed,2,no,yes,1,-2,-6,0.5,9,0,1,1
2012,sum,aug,wed,13,no,yes,2,31,33,0.52,0,101,212,313
2012,aut,oct,sat,15,no,no,1,17,16,0.36,13,251,364,615
2012,win,jan,sun,18,no,no,3,0,-4,0.86,7,11,110,121
2012,sum,aug,sun,10,no,no,1,31,35,0.59,28,111,253,364
2011,sum,aug,sun,0,no,no,1,26,28,0.74,13,6,68,74
2011,spr,may,tue,10,no,yes,3,18,18,0.88,17,31,73,104
2011,spr,mar,wed,19,no,yes,2,5,1,0.93,15,5,67,72
2012,win,mar,mon,16,no,yes,1,24,25,0.5,15,65,320,385
2011,spr,may,fri,6,no,yes,1,10,8,0.81,6,8,74,82
2012,sum,jun,sun,7,no,no,1,23,24,0.69,7,23,48,71
2012,win,feb,mon,0,yes,no,2,4,1,0.87,6,5,36,41
2012,spr,may,fri,14,no,yes,1,22,24,0.23,15,116,218,334
2012,spr,apr,sat,14,no,no,1,17,16,0.22,20,326,252,578
2012,aut,oct,mon,11,no,yes,1,19,19,0.37,11,63,148,211
2012,spr,may,mon,2,no,yes,3,19,19,0.94,17,2,9,11
2012,spr,jun,wed,17,no,yes,1,22,25,0.43,9,72,652,724
2012,spr,may,sun,5,no,no,3,17,17,0.83,11,1,10,11
2011,spr,may,sun,14,no,no,1,28,30,0.7,19,183,168,351
2012,win,mar,mon,9,no,yes,2,3,1,0.6,6,11,186,197
2011,spr,may,mon,11,no,yes,1,23,25,0.57,0,56,129,185
2012,sum,jun,tue,20,no,yes,1,26,26,0.3,19,88,417,505
2012,spr,mar,fri,22,no,yes,1,10,7,0.71,11,23,130,153
2012,win,feb,sun,2,no,no,1,4,-2,0.44,22,5,37,42
2011,win,jan,sat,15,no,no,2,14,13,0.77,20,40,70,110
2011,aut,nov,wed,17,no,yes,3,11,10,0.71,26,7,156,163
2011,spr,may,tue,21,no,yes,1,18,18,0.52,0,30,173,203
2012,spr,may,wed,16,no,yes,1,27,28,0.51,11,46,352,398
2012,spr,apr,wed,18,no,yes,3,12,11,0.43,28,39,546,585
2011,aut,dec,fri,3,no,yes,1,3,2,0.8,0,1,5,6
2012,sum,jun,wed,10,no,yes,1,26,26,0.37,17,34,138,172
2011,spr,jun,sat,17,no,no,2,29,29,0.48,11,210,239,449
2012,spr,apr,sat,4,no,no,1,8,5,0.36,11,3,4,7
2011,sum,sep,thu,17,no,yes,3,23,21,0.94,19,11,102,113
2011,aut,nov,wed,3,no,yes,1,7,6,0.75,0,0,2,2
2011,win,mar,sat,22,no,no,1,12,11,0.37,22,27,45,72
2011,win,mar,fri,10,no,yes,1,4,-1,0.6,17,10,56,66
2012,sum,jul,mon,20,no,yes,1,27,29,0.7,15,78,384,462
2011,spr,jun,sun,20,no,no,1,24,25,0.69,13,84,195,279
2011,spr,may,fri,21,no,yes,1,19,19,0.64,7,40,155,195
2012,win,mar,sat,5,no,no,1,3,-2,0.42,19,3,7,10
2011,aut,oct,wed,9,no,yes,2,18,18,0.88,30,14,183,197
2012,aut,oct,wed,6,no,yes,1,16,15,0.82,7,11,162,173
2011,spr,mar,wed,0,no,yes,3,10,7,0.71,15,3,8,11
2011,spr,mar,wed,7,no,yes,2,8,6,0.45,7,8,128,136
2012,win,dec,sun,18,no,no,2,4,-2,0.44,20,12,113,125
2012,aut,nov,fri,7,no,yes,2,7,4,0.7,9,8,349,357
2011,sum,jul,sun,18,no,no,3,31,33,0.49,57,74,107,181
2011,win,mar,sun,4,No,no,1,5,1,0.56,15,2,1,3
2011,aut,oct,sat,7,no,no,1,12,11,0.76,7,17,40,57
2012,aut,sep,thu,0,no,yes,1,21,22,0.78,6,5,60,65
2011,spr,may,sun,6,no,no,2,17,17,1,9,3,14,17
2011,win,dec,sat,1,no,no,2,12,11,0.62,19,4,31,35
2011,aut,oct,thu,12,no,yes,3,17,16,0.88,9,8,45,53
2011,aut,oct,mon,1,no,yes,1,10,8,0.81,6,1,5,6
2012,spr,may,mon,1,no,yes,2,21,24,0.6,19,5,6,11
2011,sum,sep,sat,0,no,no,2,23,24,0.73,7,22,65,87
2012,spr,apr,thu,14,no,yes,1,20,20,0.43,0,54,183,237
2012,win,feb,mon,18,no,yes,1,9,5,0.25,17,6,399,405
2011,win,feb,mon,15,no,yes,1,19,19,0.21,44,19,71,90
2012,spr,jun,tue,1,no,yes,2,25,26,0.65,11,5,11,16
2012,aut,sep,sun,19,no,no,3,17,16,0.72,9,34,223,257
2012,win,feb,tue,20,no,yes,1,12,11,0.3,9,2,202,204
2012,spr,apr,sun,20,no,no,3,10,6,0.93,28,1,34,35
2011,spr,apr,fri,20,no,yes,1,8,5,0.53,13,2,75,77
2012,spr,jun,sun,9,no,no,1,19,19,0.68,11,91,183,274
2012,sum,jun,sat,11,no,no,1,35,35,0.3,17,102,350,452
2011,spr,mar,mon,10,no,yes,1,4,-1,0.3,13,22,47,69
2011,sum,sep,sat,5,no,no,1,22,24,0.69,13,3,9,12
2012,sum,jul,sun,10,no,no,2,24,25,0.74,0,114,265,379
2011,spr,mar,mon,21,no,yes,1,8,6,0.21,9,6,55,61
2012,aut,dec,tue,23,no,yes,1,9,7,0.49,6,1,80,81
2011,sum,aug,sat,13,no,no,2,31,35,0.59,22,176,265,441
2012,spr,jun,mon,5,no,yes,1,17,17,0.68,0,2,33,35
2012,aut,oct,thu,16,no,yes,1,26,27,0.54,19,86,411,497
2012,sum,jul,sun,19,no,no,1,27,31,0.84,15,109,203,312
2011,sum,aug,sun,18,no,no,1,27,30,0.74,6,74,155,229
2011,aut,oct,tue,16,no,yes,1,20,20,0.56,22,36,273,309
2011,spr,apr,thu,1,no,yes,1,13,12,0.47,9,2,11,13
2011,aut,nov,mon,5,no,yes,1,12,11,0.87,0,0,34,34
2011,aut,sep,mon,8,no,yes,2,22,20,0.94,0,29,326,355
2012,win,jan,mon,8,no,yes,2,3,1,0.55,6,13,407,420
2012,win,jan,tue,2,no,yes,3,6,2,0.75,17,0,12,12
2011,sum,aug,mon,15,no,yes,1,36,36,0.27,0,52,77,129
2012,win,jan,thu,20,no,yes,2,12,11,0.82,9,8,216,224
2011,spr,may,tue,9,no,yes,2,17,17,0.48,7,29,176,205
2011,win,feb,tue,19,no,yes,1,2,-4,0.47,19,4,114,118
2011,spr,apr,wed,10,no,yes,1,12,11,0.37,26,21,48,69
2011,win,jan,tue,8,no,yes,2,1,-2,0.51,6,3,214,217
2012,sum,aug,fri,8,no,yes,1,25,27,0.65,9,43,625,668
2011,sum,sep,fri,19,no,yes,1,24,23,0.89,11,33,316,349
2011,sum,sep,wed,7,no,yes,1,21,21,0.83,7,20,350,370
2012,aut,dec,fri,8,no,yes,2,7,3,0.75,13,11,430,441
2012,spr,may,wed,11,no,yes,2,20,20,0.81,9,39,145,184
2011,spr,jun,fri,6,no,yes,1,19,19,0.94,0,8,89,97
2012,spr,apr,mon,3,yes,no,1,20,20,0.68,13,3,5,8
2011,sum,jul,wed,6,no,yes,2,25,26,0.89,7,5,111,116
2012,spr,jun,thu,3,no,yes,1,17,16,0.77,7,0,5,5
2012,spr,may,wed,19,no,yes,three,17,16,0.77,24,2,96,98
2012,spr,may,sat,10,no,no,1,24,25,0.65,9,148,284,432
2012,aut,dec,thu,18,no,yes,1,6,2,0.45,11,23,542,565
2011,sum,sep,thu,19,no,yes,1,26,27,0.58,11,79,364,443
2011,sum,jun,wed,5,no,yes,1,23,22,0.83,13,3,19,22
2011,spr,mar,thu,21,no,yes,1,5,1,0.65,15,11,67,78
2011,aut,nov,thu,19,no,yes,2,10,7,0.71,15,19,192,211
2011,aut,sep,fri,5,no,yes,1,17,17,0.83,13,3,23,26
2011,sum,jun,sun,8,no,no,1,23,25,0.61,13,29,78,107
2012,win,feb,wed,18,no,yes,1,19,19,0.46,11,12,514,526
2012,aut,dec,fri,5,no,yes,1,2,-1,0.69,7,0,34,34
2011,spr,may,sun,17,no,no,2,16,15,0.82,17,60,136,196
2011,sum,jul,fri,18,no,yes,1,31,29,0.24,17,98,324,422
2012,sum,jul,tue,9,no,yes,1,31,33,0.49,11,46,226,272
2011,spr,may,sun,5,no,no,1,12,11,0.82,6,0,10,10
2012,aut,dec,sat,12,no,no,2,8,6,0.81,6,119,327,446
2011,win,jan,mon,14,no,yes,2,2,-3,0.4,15,0,47,47
2012,spr,jun,thu,12,no,yes,1,26,26,0.42,0,62,274,336
2012,aut,sep,tue,9,no,yes,1,18,18,0.56,17,28,381,409
2011,sum,jul,wed,6,no,yes,1,26,28,0.79,6,9,112,121
2011,spr,may,thu,6,no,yes,1,9,5,0.66,17,3,86,89
2012,aut,nov,sun,8,no,no,2,3,-1,0.51,13,2,32,34
2011,spr,apr,sat,8,no,no,2,8,4,0.93,11,7,47,54
2012,sum,jul,sat,10,no,no,1,37,41,0.37,15,100,225,325
2012,sum,aug,wed,14,no,yes,1,29,29,0.4,6,,214,301
2011,win,mar,wed,3,no,yes,1,3,-2,0.69,19,3,1,4
2011,spr,mar,wed,11,no,yes,2,9,5,0.46,17,26,64,90
2011,win,mar,thu,6,no,yes,1,-1,-8,0.33,20,1,34,35
2011,sum,aug,wed,0,no,yes,1,24,25,0.69,6,8,16,24
2012,win,feb,mon,14,no,yes,1,15,14,0.36,19,24,134,158
2012,aut,nov,tue,10,no,yes,3,8,5,0.81,13,5,52,57
2012,spr,may,fri,7,no,yes,1,13,12,0.5,17,6,345,351
2011,sum,jul,sat,16,no,no,1,38,42,0.38,9,70,151,221
2012,spr,jun,sat,22,no,no,1,26,27,0.58,11,63,151,214
2012,aut,dec,sun,12,no,no,2,12,11,0.82,20,60,255,315
2011,win,feb,thu,2,no,yes,3,-1,-6,0.8,9,0,3,3
2012,sum,jul,tue,12,no,yes,1,35,34,0.28,13,74,198,272
2012,spr,mar,sat,7,no,no,2,10,7,0.87,11,5,39,44
2012,win,jan,sun,18,no,no,1,9,5,0.46,15,19,162,181
2012,aut,nov,thu,11,no,yes,1,10,7,0.37,15,13,150,163
2012,spr,may,tue,18,no,yes,1,26,27,0.61,6,68,665,733
2011,spr,jun,wed,22,no,yes,1,22,25,0.5,7,31,144,175
2012,spr,may,mon,14,yes,no,1,31,36,0.63,19,238,227,465
2011,sum,aug,tue,6,no,yes,1,22,23,0.73,22,4,115,119
2011,,aug,mon,7,no,yes,1,28,29,0.62,0,24,258,282
2012,aut,nov,sat,3,no,no,1,7,6,0.81,0,9,11,20
2012,spr,apr,wed,9,no,yes,1,13,12,0.54,0,33,288,321
2012,spr,may,tue,13,no,yes,2,27,28,0.51,15,41,208,249
2011,spr,may,tue,12,no,yes,1,29,29,0.45,26,41,129,170
2012,win,mar,sun,4,no,no,2,13,12,0.94,11,6,8,14
2012,sum,jun,sat,15,no,no,1,35,35,0.3,17,117,287,404
2012,sum,jul,fri,18,no,yes,2,24,24,0.78,22,73,549,622
2012,spr,may,fri,22,no,yes,1,19,19,0.35,15,44,190,234
2012,spr,jun,wed,20,no,yes,1,18,18,0.73,19,59,349,408
2012,aut,oct,sat,7,no,no,1,16,15,0.83,13,7,79,86
2012,sum,sep,sun,8,no,no,1,18,18,0.64,11,34,94,128
2011,aut,dec,tue,13,no,yes,3,15,14,1,13,6,65,71
2012,spr,apr,mon,12,no,yes,1,14,13,0.44,30,100,181,281
2012,win,feb,sun,13,no,no,1,7,4,0.49,11,64,197,261
2012,win,jan,wed,21,no,yes,1,2,-5,0.4,28,5,119,124
2011,spr,mar,mon,1,no,yes,2,9,4,0.71,26,1,6,7
2011,sum,aug,sun,15,no,no,1,26,28,0.84,19,17,51,68
2012,spr,JUN,tue,4,no,yes,2,21,22,0.78,9,1,9,10
2011,sum,sep,sun,20,no,no,2,18,18,0.68,6,44,136,180
2012,spr,mar,fri,4,no,yes,2,17,16,0.94,7,0,3,3
2012,win,jan,sun,11,no,no,1,0,-6,0.47,15,21,144,165
2011,aut,nov,tue,4,no,yes,1,9,5,0.81,15,1,7,8
2012,spr,jun,tue,16,no,yes,2,24,23,0.89,19,30,209,239
2012,aut,dec,thu,23,no,yes,3,12,11,0.82,20,0,13,13
2012,spr,apr,thu,17,no,yes,1,17,16,0.31,11,145,677,822
2012,spr,apr,sun,8,no,no,1,11,10,0.76,9,26,81,107
2011,win,feb,mon,21,no,yes,2,11,10,0.87,26,2,78,80
2011,spr,may,tue,8,no,yes,2,19,19,0.83,19,24,435,459
2012,sum,aug,fri,4,n0,yes,2,23,24,0.73,0,2,6,8
2012,aut,oct,tue,23,no,yes,1,18,18,0.73,7,9,102,111
2012,aut,nov,sat,8,no,no,1,8,7,0.76,0,16,130,146
2012,spr,jun,wed,2,no,yes,1,22,22,0.83,9,0,4,4
2012,sum,jul,thu,19,no,yes,1,36,41,0.45,22,80,534,614
2012,spr,may,thu,4,no,yes,1,71.6,24,0.69,0,0,8,8
2012,win,dec,fri,13,no,yes,2,8,3,0.39,28,26,214,240
2011,win,feb,wed,14,no,yes,1,2,-4,0.34,20,2,56,58
2012,win,dec,sat,19,no,no,2,7,0,0.61,17,7,90,97
2011,win,jan,sun,10,no,no,2,1,0,0.8,0,7,57,64
2012,sum,sep,fri,4,no,yes,1,17,16,0.77,0,1,9,10
2012,spr,jun,sat,2,no,no,1,23,25,0.5,15,21,68,89
2011,sum,jul,mon,2,no,yes,1,24,24,0.83,15,2,8,10
2012,spr,may,sun,7,no,no,1,17,17,0.68,11,18,42,60
2011,spr,jun,fri,1,no,yes,1,21,25,0.38,24,7,15,22
2011,aut,oct,mon,12,no,yes,2,12,11,0.71,9,29,118,147
2011,aut,nov,fri,6,no,yes,1,3,1,0.44,6,1,70,71
2011,spr,mar,sun,9,no,no,1,3,-1,0.55,9,17,37,54
2012,aut,dec,sat,7,no,no,2,4,0,0.87,9,7,56,63
2012,win,jan,sun,4,no,no,2,0,-7,0.47,26,1,5,6
2012,aut,oct,tue,16,no,yes,3,22,21,0.88,9,46,328,374
2011,sum,sep,tue,14,no,yes,2,20,20,0.88,13,27,85,112
2012,spr,jun,thu,10,no,yes,1,23,24,0.65,28,47,132,179
2012,spr,jun,sat,21,no,no,1,21,25,0.4,7,96,220,316
2011,win,jan,sat,23,no,no,1,7,3,0.45,19,5,39,44
2011,sum,jul,sun,3,no,no,1,23,24,0.69,15,21,26,47
2012,spr,jun,tue,15,no,yes,1,30,33,0.59,11,72,187,259
2012,spr,may,thu,9,no,yes,1,17,16,0.59,31,62,299,361
2011,win,jan,fri,9,no,yes,1,2,-4,0.47,20,9,125,134
2012,sum,jul,mon,6,no,yes,1,25,26,0.79,9,8,132,140
2012,win,feb,thu,3,no,yes,3,14,13,0.67,13,2,4,6
2012,win,mar,sun,0,no,no,2,12,11,0.3,24,5,67,72
2011,spr,may,sun,0,no,no,2,17,16,0.59,7,22,78,100
2012,spr,may,thu,13,no,yes,1,28,27,0.35,9,77,216,293
2012,spr,may,tue,6,no,yes,3,17,17,0.77,7,2,24,26
2011,spr,may,fri,23,no,yes,1,14,13,0.82,9,27,93,120
2012,win,mar,fri,16,no,yes,3,12,11,0.58,20,1,49,50
2011,aut,dec,sat,14,no,no,1,9,4,0.31,22,51,242,293
2012,aut,dec,mon,7,no,yes,2,9,8,0.93,0,9,387,396
2011,sum,aug,thu,13,no,yes,1,29,28,0.31,15,51,166,217
2012,spr,may,wed,2,no,yes,2,21,21,0.83,11,2,10,12
2011,sum,jul,sat,1,no,no,1,32,35,0.52,7,13,57,70
2011,spr,jun,mon,13,no,yes,1,30,29,0.35,0,28,152,180
2011,win,feb,thu,18,no,yes,2,9,4,0.87,22,5,132,137
2011,sum,aug,mon,9,no,yes,1,29,30,0.55,26,37,146,183
2011,spr,apr,fri,17,no,yes,1,9,4,0.46,22,36,245,281
2012,spr,apr,sat,7,no,no,1,9,6,0.49,11,10,45,55
2011,aut,nov,sun,9,no,no,1,14,13,0.72,11,29,109,138
2011,spr,may,tue,5,no,yes,1,24,24,0.83,6,0,26,26
2011,aut,oct,thu,6,no,yes,3,18,18,1,6,1,51,52
2011,aut,oct,wed,3,no,yes,1,14,13,0.67,15,0,3,3
2011,aut,oct,mon,7,no,yes,1,4,3,0.93,0,11,216,227
2011,win,feb,thu,22,no,yes,1,1,-2,0.51,6,2,39,41
2011,sum,jul,thu,6,no,yes,2,27,31,0.84,7,6,111,117
2012,win,jan,tue,5,no,yes,3,8,4,0.66,22,0,13,13
2011,spr,apr,thu,13,no,yes,1,19,19,0.37,15,38,121,159
20!1,spr,jun,thu,8,no,yes,2,29,32,0.7,7,32,400,432
2011,spr,jun,sat,10,no,no,1,23,25,0.38,7,115,202,317
2012,spr,jun,tue,20,no,yes,1,25,26,0.83,13,36,350,386
2012,win,jan,sun,9,no,no,1,-2,-7,0.54,13,10,80,90
2011,spr,jun,fri,12,no,yes,1,24,25,0.27,19,51,208,259
2011,spr,may,tue,20,no,yes,1,24,25,0.74,6,39,241,280
2012,win,dec,sat,7,no,no,1,5,-1,0.44,28,2,18,20
2012,sum,sep,tue,17,no,yes,1,29,32,0.7,24,110,746,856
2012,aut,oct,thu,21,no,yes,1,13,12,0.62,9,24,236,260
2012,aut,oct,tue,11,no,yes,1,21,25,0.53,0,52,201,253
2012,,nov,fri,17,no,yes,2,16,15,0.39,6,117,183,300
2012,aut,oct,sun,22,no,no,1,13,12,0.54,0,18,95,113
2012,aut,nov,tue,0,no,yes,2,8,6,0.66,6,2,24,26
2012,win,feb,fri,20,no,yes,2,8,7,0.57,0,7,144,151
2011,spr,mar,thu,0,no,yes,3,4,-1,0.93,15,0,3,3
2011,aut,nov,wed,18,no,yes,1,9,4,0.49,22,7,369,376
2011,win,mar,tue,4,no,yes,1,4,1,0.75,6,1,1,2
2012,win,jan,fri,20,no,yes,1,9,4,0.53,24,6,153,159
2012,spr,apr,mon,15,no,yes,2,17,17,0.55,7,55,176,231
2011,sum,jul,fri,8,no,yes,1,26,26,0.42,11,39,453,492
2011,spr,may,fri,23,no,yes,1,17,17,0.72,11,15,100,115
2012,win,mar,fri,23,no,yes,2,10,9,0.87,0,4,19,23
2012,sum,jul,fri,15,no,yes,1,37,38,0.29,13,79,206,285
2011,aut,dec,fri,14,no,yes,1,11,10,0.46,19,24,163,187
2012,win,jan,sun,12,no,no,1,8,4,0.26,15,73,215,288
2012,spr,apr,sat,15,no,no,1,17,17,0.19,28,321,305,626
2012,aut,sep,tue,10,no,yes,1,19,19,0.52,20,45,125,170
2011,sum,jul,mon,13,no,yes,2,28,31,0.74,9,14,64,78
2011,win,mar,sun,12,no,no,1,10,8,0.4,7,120,108,228
2012,spr,may,thu,1,no,yes,1,21,20,0.88,6,9,21,30
2011,aut,nov,thu,16,yes,no,1,17,16,0.34,19,48,66,114
2012,sum,jul,sun,10,no,no,1,28,29,0.62,0,123,258,381
2012,aut,oct,tue,10,no,yes,1,18,18,0.6,0,50,171,221
2012,sum,jul,fri,3,no,yes,2,25,26,0.61,0,2,7,9
2011,spr,mar,thu,2,no,yes,3,4,-1,0.93,13,0,5,5
2011,aut,dec,tue,6,no,yes,2,10,9,0.57,0,1,71,72
2011,aut,nov,sat,6,no,no,2,7,5,0.75,6,2,8,10
2012,aut,sep,sat,4,no,no,1,17,17,0.59,17,6,8,14
2011,aut,oct,sat,10,no,no,1,17,17,0.77,0,120,217,337
2012,win,jan,thu,0,no,yes,2,6,3,0.75,7,3,22,25
2012,aut,dec,sun,22,no,no,2,12,11,0.82,13,6,83,89
2012,aut,sep,sun,6,no,no,1,14,13,0.62,17,5,11,16
2012,aut,oct,fri,21,no,yes,2,18,18,0.77,9,40,252,292
2011,win,feb,mon,15,yes,no,2,7,2,0.7,30,11,76,87
2011,spr,apr,wed,1,no,yes,2,12,11,1,20,0,1,1
2012,sum,jul,mon,16,no,yes,1,30,30,0.4,19,88,325,413
2012,win,mar,thu,15,no,yes,1,23,25,0.38,46,24,161,185
2012,win,feb,sun,0,no,no,3,-3,-11,0.68,26,0,21,21
2011,win,jan,fri,14,no,yes,3,3,2,0.8,0,2,36,38
2012,win,jan,wed,5,no,yes,1,-7,-13,0.41,13,0,14,14
2011,spr,apr,sat,1,no,no,2,10,6,0.87,19,5,28,33
2011,spr,apr,wed,0,no,yes,2,12,11,1,20,3,12,15
2012,sum,aug,sun,17,no,no,1,32,34,0.46,17,122,260,382
2011,aut,nov,sun,12,no,no,1,18,18,0.56,19,63,193,256
2012,spr,mar,fri,21,no,yes,1,11,10,0.66,9,30,190,220
2013,aut,oct,fri,18,no,yes,2,10,7,0.53,11,36,332,368
2011,sum,jul,mon,17,yes,no,1,31,32,0.46,0,240,196,436
2011,spr,apr,fri,6,yes,no,1,10,8,0.81,6,5,42,47
2011,aut,oct,wed,11,no,yes,3,18,18,0.94,22,18,102,120
2011,spr,mar,fri,1,no,yes,1,2,-2,0.69,11,0,5,5
2012,aut,dec,sat,22,no,no,2,7,6,0.87,0,17,130,147
2012,win,mar,tue,22,no,yes,1,18,18,0.77,0,32,156,188
